period-name,short-desc,temp
Today,Mostly Cloudythen SlightChance Snow,High: 28 °F
Tonight,DecreasingClouds,Low: 9 °F
Tuesday,Partly Sunny,High: 26 °F
TuesdayNight,Partly Cloudy,Low: 12 °F
Wednesday,Slight ChanceSnow,High: 22 °F
WednesdayNight,Mostly Clear,Low: 7 °F
Thursday,Mostly Sunny,High: 27 °F
ThursdayNight,Slight ChanceSnow,Low: 24 °F
Friday,Slight ChanceSnow thenMostly Sunny,High: 31 °F
